node1,node2,size
2398788,2429175,210
2398788,4222885,210
2398788,3892154,210
2398788,3222995,210
2398788,719905,210
2398788,604755,210
2398788,998516,210
2398788,186118,210
2398788,1843945,210
2398788,2813622,210
2398788,3424823,210
2398788,241121,210
2398788,2285578,210
2398788,1535154,210
2398788,2001572,210
2398788,1437053,210
2398788,3441728,210
2285578,29625,210
2285578,1367218,210
2285578,4144154,210
2285578,2429175,210
2285578,4222885,210
2285578,3892154,210
2285578,3222995,210
2285578,719905,210
2285578,604755,210
2285578,998516,210
2285578,186118,210
2285578,1843945,210
2285578,2398788,210
2285578,2813622,210
2285578,3424823,210
2285578,241121,210
2285578,1535154,210
2285578,2001572,210
2285578,1437053,210
2285578,3441728,210
3441728,29625,210
3441728,1367218,210
3441728,4144154,210
3441728,2429175,210
3441728,4222885,210
3441728,3892154,210
3441728,3222995,210
3441728,719905,210
3441728,604755,210
3441728,998516,210
3441728,186118,210
3441728,1843945,210
3441728,2398788,210
3441728,2813622,210
3441728,3424823,210
3441728,241121,210
3441728,2285578,210
3441728,1535154,210
3441728,2001572,210
3441728,1437053,210
4222885,29625,210
4222885,1367218,210
4222885,4144154,210
4222885,2429175,210
4222885,3892154,210
4222885,3222995,210
4222885,719905,210
4222885,604755,210
4222885,998516,210
4222885,186118,210
4222885,1843945,210
4222885,2398788,210
4222885,2813622,210
4222885,3424823,210
4222885,241121,210
4222885,2285578,210
4222885,1535154,210
4222885,2001572,210
4222885,1437053,210
4222885,3441728,210
3892154,29625,210
3892154,1367218,210
3892154,4144154,210
3892154,2429175,210
3892154,4222885,210
3892154,3222995,210
3892154,719905,210
3892154,604755,210
3892154,998516,210
3892154,186118,210
3892154,1843945,210
3892154,2398788,210
3892154,2813622,210
3892154,3424823,210
3892154,241121,210
3892154,2285578,210
3892154,1535154,210
3892154,2001572,210
3892154,1437053,210
3892154,3441728,210
3222995,29625,210
3222995,1367218,210
3222995,4144154,210
3222995,2429175,210
3222995,4222885,210
3222995,3892154,210
3222995,719905,210
3222995,604755,210
3222995,998516,210
3222995,186118,210
3222995,1843945,210
3222995,2398788,210
3222995,2813622,210
3222995,3424823,210
3222995,241121,210
3222995,2285578,210
3222995,1535154,210
3222995,2001572,210
3222995,1437053,210
3222995,3441728,210
241121,29625,210
241121,1367218,210
241121,4144154,210
241121,2429175,210
241121,4222885,210
241121,3892154,210
241121,3222995,210
241121,719905,210
241121,604755,210
241121,998516,210
241121,186118,210
241121,1843945,210
241121,2398788,210
241121,2813622,210
241121,3424823,210
241121,2285578,210
241121,1535154,210
241121,2001572,210
241121,1437053,210
241121,3441728,210
1535154,29625,210
1535154,1367218,210
1535154,4144154,210
1535154,2429175,210
1535154,4222885,210
1535154,3892154,210
1535154,3222995,210
1535154,719905,210
1535154,604755,210
1535154,998516,210
1535154,186118,210
1535154,1843945,210
1535154,2398788,210
1535154,2813622,210
1535154,3424823,210
1535154,241121,210
